Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C19, C9",0603,7,10u,
"C14, C15, C35, C45",CP_EIA-7343-43_Kemet-X_HandSolder,4,1000u,
"C16, C17, C18, C20, C21, C22, C7, C8",0603,8,1u,
"C2, C23, C24, C3, C33, C36, C4, C43, C46, C5, C6",0603,11,30p,
"C25, C27, C30, C31, C40, C41",CP_EIA-7343-43_Kemet-X_HandSolder,6,100u,
"C26, C28, C32, C34, C38, C42, C44, C47",0603,8,100n,
"C29, C39",0603,2,2.2n,
C37,CP_EIA-7343-15_Kemet-W,1,100u,
"D1, D6, D7",0603,3,D_TVS,
D2,0603,1,0603ESDA-18N,
D3,0603,1,LED,
"D4, D5",D_SMA,2,SS14,
F1,0603,1,Polyfuse - 750mA,
"FB1, FB2, FB3, FB4, FB5",0603,5,120R,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle,
J2,SJ-3524-SMT,1,SJ-3524-SMT,
L1,0805,1,10u,
"R1, R2, R30, R40",0603,4,5.1K,
R10,0603,1,240K,
"R11, R23, R24, R25, R29, R34, R39, R7, R8, R9",0603,10,22K,
R12,0603,1,20,
"R13, R16, R20, R21, R26, R27, R28, R33, R35, R36, R38, R43",0603,12,1.5K,
"R14, R15",0603,2,22,
"R17, R31, R32, R41, R42",0603,5,1,
"R22, R5",0603,2,1M,
R3,TRIM_PTN092-H20115K1A,1,PTN092-H20115K1A,
R6,0603,1,84.5K,
TP1,TestPoint_Pad_1.0x1.0mm,1,+5V,
TP2,TestPoint_Pad_1.0x1.0mm,1,+16V,
TP3,TestPoint_Pad_1.0x1.0mm,1,+3.7V,
TP4,TestPoint_Pad_1.0x1.0mm,1,+15VA,
TP5,TestPoint_Pad_1.0x1.0mm,1,VREF,
TP6,TestPoint_Pad_1.0x1.0mm,1,U1_VCCI,
TP7,TestPoint_Pad_1.0x1.0mm,1,VBL,
TP8,TestPoint_Pad_1.0x1.0mm,1,VBR,
U1,SSOP-28_5.3x10.2mm_P0.65mm,1,PCM2900C,
"U10, U11, U5, U6, U7, U8, U9",SOIC-8_5.3x5.3mm_P1.27mm,7,NE5532,
U2,SOT-23-5,1,TPS61040DBV,
"U3, U4",SOT-23-5,2,SPX3819M5-L,
Y3,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12 MHz Crystal,
